Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME
1,6.89,6.89,3,7.17,7.17,4,7.28,7.28,2,7.00,7.00
1,9.08,15.97,3,8.99,16.16,4,9.06,16.34,2,9.05,16.05
1,8.59,24.56,2,8.52,24.68,4,8.54,24.88,3,8.71,24.76
1,8.90,33.46,3,8.91,33.59,4,8.74,33.62,2,8.82,33.58
3,27.27,1:00.729,0,,PEN,2,9.55,43.165,1,9.49,43.064
