SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,Monika GRZADKOWSKA POSITION,Monika GRZADKOWSKA LAP TIME,Monika GRZADKOWSKA ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,KIM Hae Bin POSITION,KIM Hae Bin LAP TIME,KIM Hae Bin ELAPSED TIME
2,11.15,11.15,1,10.98,10.98,4,11.51,11.51,3,11.34,11.34,5,11.74,11.74,6,11.89,
3,15.89,27.04,1,15.81,26.79,2,15.37,26.88,4,15.84,27.18,5,15.59,27.33,6,15.50,
3,14.10,41.14,1,14.05,40.84,2,14.07,40.95,4,14.10,41.28,6,14.20,41.53,5,14.06,
1,12.76,53.90,2,13.15,53.99,3,13.12,54.07,4,12.91,54.19,6,12.93,54.46,5,12.88,
1,13.58,1:07.48,2,13.58,1:07.57,3,13.58,1:07.65,4,13.48,1:07.67,6,13.51,1:07.97,5,13.44,
1,11.95,1:19.43,3,12.06,1:19.63,2,11.87,1:19.52,4,11.98,1:19.65,6,11.98,1:19.95,5,12.06,
1,11.17,1:30.60,3,11.12,1:30.75,2,11.12,1:30.64,4,11.17,1:30.82,6,11.11,1:31.06,5,11.02,
1,10.70,1:41.30,2,10.56,1:41.31,3,10.79,1:41.43,5,10.82,1:41.64,6,10.73,1:41.79,4,10.72,
2,10.02,1:51.32,1,9.89,1:51.20,3,9.96,1:51.39,5,9.99,1:51.63,6,9.92,1:51.71,4,9.98,
2,9.99,2:01.31,1,9.99,2:01.19,3,10.01,2:01.40,5,10.04,2:01.67,6,10.14,2:01.85,4,10.02,
2,9.90,2:11.21,1,9.90,2:11.09,3,9.90,2:11.30,6,9.89,2:11.56,5,9.68,2:11.53,4,9.90,
2,9.75,2:20.96,1,9.70,2:20.79,6,25.17,2:36.47,5,9.92,2:21.48,3,9.48,2:21.01,4,9.82,
3,9.84,2:30.80,2,9.85,2:30.64,6,31.13,3:07.60,5,10.33,2:31.81,1,9.22,2:30.23,4,9.60,
3,10.07,2:40.87,4,10.56,2:41.20,5,16.11,3:23.674,4,10.84,2:42.626,1,9.60,2:39.83,2,9.83,
