Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,SONG Haochen POSITION,SONG Haochen LAP TIME,SONG Haochen ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME
2,13.40,13.40,4,13.72,13.72,3,13.52,13.52,1,13.19,13.19,5,13.82,13.82
2,9.75,23.15,4,9.61,23.33,3,9.73,23.25,1,9.86,23.05,5,9.65,23.47
2,9.58,32.73,4,9.60,32.93,3,9.59,32.84,1,9.59,32.64,5,9.63,33.10
2,9.49,42.22,4,9.46,42.39,3,9.46,42.30,1,9.51,42.15,5,9.40,42.50
1,9.30,51.52,4,9.26,51.65,2,9.29,51.59,3,9.49,51.64,5,9.26,51.76
2,9.18,1:00.70,1,9.01,1:00.66,3,9.17,1:00.76,5,9.66,1:01.30,4,9.18,1:00.94
3,9.31,1:10.01,1,8.98,1:09.64,2,9.11,1:09.87,5,9.88,1:11.18,3,9.07,1:10.01
4,9.38,1:19.39,1,9.17,1:18.81,2,9.03,1:18.90,5,10.38,1:21.56,3,9.24,1:19.25
4,9.41,1:28.80,1,9.50,1:28.31,2,9.45,1:28.35,5,10.79,1:32.35,3,9.49,1:28.74
