Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,13.16,13.16,1,13.08,13.08,4,13.43,13.43,3,13.24,13.24
1,10.10,23.26,2,10.27,23.35,4,10.13,23.57,3,10.17,23.42
1,9.91,33.18,3,9.93,33.29,4,9.76,33.33,2,9.80,33.22
1,9.81,42.99,3,9.78,43.08,4,9.77,43.11,2,9.83,43.06
2,9.76,52.76,1,9.55,52.63,4,9.90,53.01,3,9.70,52.76
2,9.72,1:02.48,1,9.80,1:02.44,4,9.76,1:02.77,3,9.74,1:02.50
3,9.72,1:12.20,2,9.70,1:12.15,4,9.55,1:12.33,1,9.64,1:12.14
4,9.90,1:22.11,2,9.88,1:22.03,1,9.64,1:21.97,3,9.93,1:22.08
4,10.58,1:32.686,2,9.84,1:31.865,1,9.55,1:31.514,3,10.05,1:32.126
