Hannes KROEGER POSITION,Hannes KROEGER LAP TIME,Hannes KROEGER ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME
1,6.96,6.96,2,7.06,7.06,3,7.13,7.13,4,7.24,7.24,5,7.50,7.50
2,9.23,16.19,1,9.00,16.06,3,9.13,16.26,4,9.13,16.37,5,9.29,16.79
3,8.73,24.92,1,8.52,24.58,2,8.64,24.90,4,8.67,25.04,5,8.96,25.75
4,8.98,33.90,1,8.62,33.20,2,8.74,33.64,3,8.72,33.76,5,9.09,34.84
4,8.89,42.783,1,8.86,42.057,2,8.91,42.541,3,8.92,42.679,5,9.38,44.217
