LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME
5,10.58,10.58,2,10.22,10.22,3,10.40,10.40,4,10.46,10.46,6,10.78,10.78,1,10.13,10.13
6,13.88,24.46,2,13.76,23.98,4,13.80,24.20,5,13.86,24.32,1,13.04,23.82,3,13.94,24.07
6,11.87,36.33,3,12.01,35.99,5,11.97,36.17,2,11.64,35.96,1,12.04,35.86,4,12.01,36.08
6,11.31,47.64,5,11.42,47.41,4,11.23,47.40,1,11.26,47.22,2,11.47,47.33,3,11.32,47.40
6,10.95,58.59,1,10.71,58.12,4,10.87,58.27,2,10.97,58.19,3,10.88,58.21,5,11.02,58.42
6,10.13,1:08.72,2,10.21,1:08.33,4,10.21,1:08.48,3,10.17,1:08.36,1,10.02,1:08.23,5,10.17,1:08.59
6,10.03,1:18.75,1,9.98,1:18.31,4,9.98,1:18.46,2,9.96,1:18.32,3,10.16,1:18.39,5,9.88,1:18.47
6,9.75,1:28.50,2,9.73,1:28.04,1,9.48,1:27.94,3,9.81,1:28.13,4,9.85,1:28.24,5,9.92,1:28.39
6,9.48,1:37.98,2,9.61,1:37.65,1,9.59,1:37.53,5,9.72,1:37.85,3,9.44,1:37.68,4,9.46,1:37.85
5,9.32,1:47.30,3,9.42,1:47.07,1,9.27,1:46.80,4,9.34,1:47.19,2,9.23,1:46.91,6,9.53,1:47.38
4,9.18,1:56.48,3,9.32,1:56.39,1,9.38,1:56.18,5,9.45,1:56.64,2,9.37,1:56.28,6,9.76,1:57.14
3,9.14,2:05.62,4,9.31,2:05.70,1,9.32,2:05.50,5,9.40,2:06.04,2,9.30,2:05.58,6,9.77,2:06.91
1,8.95,2:14.57,4,9.41,2:15.11,2,9.25,2:14.75,5,9.62,2:15.66,3,9.31,2:14.89,6,9.99,2:16.90
1,9.36,2:23.929,4,9.61,2:24.712,2,9.32,2:24.065,0,,PEN,3,9.54,2:24.427,5,10.48,2:27.371
