Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
1,6.90,6.90,2,7.05,7.05,3,7.19,7.19,4,7.36,7.36
1,9.28,16.18,2,9.14,16.19,3,9.12,16.31,4,9.05,16.41
2,8.79,24.97,1,8.67,24.86,3,8.74,25.05,4,8.76,25.17
2,8.88,33.85,1,8.89,33.75,3,8.86,33.91,4,8.87,34.04
2,9.15,42.994,1,9.20,42.942,3,9.28,43.189,4,9.18,43.218
