Marcel PLEIJSTER POSITION,Marcel PLEIJSTER LAP TIME,Marcel PLEIJSTER ELAPSED TIME,Justin COPSEY POSITION,Justin COPSEY LAP TIME,Justin COPSEY ELAPSED TIME,CUI Liang POSITION,CUI Liang LAP TIME,CUI Liang ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME
1,7.049,7.049,3,7.339,7.339,2,7.212,7.212,4,7.484,7.484
1,9.288,16.337,3,9.878,17.216,2,9.375,16.586,4,9.795,17.278
2,9.342,25.679,3,9.525,26.741,1,8.972,25.558,4,9.639,26.917
2,9.385,35.063,3,9.610,36.351,1,9.185,34.743,4,9.771,36.687
2,9.85,44.909,3,10.28,46.631,1,9.76,44.500,4,10.10,46.781
