Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,JIN Sun-Yu POSITION,JIN Sun-Yu LAP TIME,JIN Sun-Yu ELAPSED TIME
1,8.306,8.306,2,8.637,8.637,5,12.125,12.125,3,8.960,8.960,4,9.089,9.089
1,11.445,19.750,3,11.251,19.888,2,7.637,19.762,5,11.271,20.231,4,10.958,20.046
2,11.583,31.333,3,11.658,31.545,1,11.506,31.267,5,12.464,32.694,4,11.603,31.649
1,11.839,43.171,2,11.729,43.274,3,12.021,43.288,5,11.054,43.748,4,11.941,43.589
1,12.228,55.399,4,12.490,55.764,2,12.192,55.479,3,12.013,55.761,5,12.257,55.846
1,11.880,1:07.279,2,11.721,1:07.484,3,12.152,1:07.631,5,11.925,1:07.685,4,11.833,1:07.679
2,11.428,1:18.707,4,11.304,1:18.788,3,11.128,1:18.759,1,10.898,1:18.582,5,11.121,1:18.799
5,10.698,1:29.404,1,10.266,1:29.053,2,10.361,1:29.120,3,10.620,1:29.201,4,10.407,1:29.206
4,10.097,1:39.501,5,10.610,1:39.663,3,10.308,1:39.427,2,10.216,1:39.417,1,9.791,1:38.996
4,10.282,1:49.782,3,10.098,1:49.761,5,10.417,1:49.844,2,10.197,1:49.613,1,10.325,1:49.321
5,10.600,2:00.381,3,10.374,2:00.135,4,10.361,2:00.204,1,10.210,1:59.823,2,10.566,1:59.886
5,10.236,2:10.617,4,10.293,2:10.427,2,10.069,2:10.273,3,10.498,2:10.320,1,10.367,2:10.252
5,10.909,2:21.525,4,10.146,2:20.573,2,10.073,2:20.345,3,10.082,2:20.401,1,9.770,2:20.022
5,10.98,2:32.497,4,10.06,2:30.629,2,9.34,2:29.683,3,9.75,2:30.147,1,9.42,2:29.439
