Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,13.88,13.88,2,13.99,13.99,3,14.04,14.04,4,14.12,14.12
3,11.06,24.94,1,10.85,24.85,4,11.01,25.05,2,10.78,24.90
2,10.25,35.19,3,10.34,35.19,4,10.21,35.26,1,10.20,35.10
3,10.41,45.60,2,10.36,45.56,4,10.40,45.66,1,10.36,45.46
2,9.80,55.41,4,10.03,55.59,3,9.85,55.51,1,9.91,55.38
1,9.32,1:04.73,4,9.47,1:05.06,2,9.23,1:04.75,3,9.58,1:04.97
1,9.27,1:14.01,4,9.38,1:14.44,2,9.39,1:14.14,3,9.39,1:14.37
1,9.28,1:23.29,4,9.51,1:23.96,2,9.32,1:23.47,3,9.43,1:23.80
1,9.26,1:32.550,4,9.85,1:33.806,2,9.14,1:32.604,3,9.59,1:33.385
