Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME
2,6.96,6.96,1,6.83,6.83,3,7.14,7.14,4,7.27,7.27
1,8.90,15.86,1,9.03,15.86,3,8.96,16.10,4,9.03,16.30
1,8.52,24.38,2,8.63,24.49,3,8.53,24.63,4,8.63,24.93
1,8.77,33.15,2,8.82,33.31,3,8.76,33.39,4,8.70,33.63
1,8.95,42.10,3,9.34,42.65,2,9.29,42.68,4,9.55,43.18
