LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
1,6.80,6.80,3,6.99,6.99,2,6.98,6.98,4,7.13,7.13
1,8.94,15.74,3,8.90,15.89,2,8.88,15.86,4,8.92,16.05
2,8.54,24.28,3,8.57,24.46,1,8.40,24.26,4,8.49,24.54
2,8.82,33.10,3,8.68,33.14,1,8.60,32.86,4,8.62,33.16
3,9.07,42.167,2,8.75,41.883,1,8.74,41.592,4,9.36,42.513
