de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME
1,13.67,13.67,4,13.92,13.92,5,13.98,13.98,3,13.86,13.86,2,13.80,13.80
1,10.10,23.77,3,10.03,23.95,5,10.28,24.26,4,10.16,24.02,2,10.04,23.84
2,9.53,33.30,3,9.42,33.37,5,9.33,33.59,4,9.56,33.58,1,9.42,33.26
1,8.95,42.25,4,9.39,42.76,3,9.06,42.65,5,9.43,43.01,2,9.33,42.59
1,9.04,51.29,4,8.93,51.69,3,8.96,51.61,5,8.93,51.94,2,8.83,51.42
1,8.85,1:00.14,4,8.89,1:00.58,2,8.64,1:00.25,5,8.78,1:00.72,3,8.88,1:00.30
1,8.95,1:09.09,4,8.86,1:09.44,2,8.96,1:09.21,5,8.94,1:09.66,3,9.00,1:09.30
1,8.78,1:17.87,4,8.71,1:18.15,3,8.78,1:17.99,5,8.87,1:18.53,2,8.64,1:17.94
3,9.41,1:27.283,4,9.22,1:27.371,2,9.01,1:27.008,5,9.11,1:27.640,1,8.87,1:26.811
