Andrey SMETANIN POSITION,Andrey SMETANIN LAP TIME,Andrey SMETANIN ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
4,8.85,8.85,2,8.67,8.67,3,8.69,8.69,1,8.52,8.52,5,8.97,8.97
4,12.90,21.76,3,12.90,21.58,2,12.54,21.23,1,12.68,21.20,5,12.83,21.81
4,12.67,34.43,3,12.70,34.28,2,12.78,34.02,1,12.72,33.93,5,12.72,34.53
4,12.54,46.98,3,12.44,46.73,1,12.27,46.30,2,12.45,46.39,5,12.44,46.98
4,12.09,59.08,3,12.27,59.00,2,12.53,58.83,1,12.28,58.68,5,12.27,59.26
2,11.27,1:10.35,5,11.71,1:10.71,3,11.63,1:10.46,1,11.52,1:10.20,4,11.41,1:10.67
4,11.46,1:21.82,2,11.00,1:21.72,3,11.36,1:21.82,1,11.46,1:21.67,5,11.58,1:22.25
2,10.40,1:32.22,3,10.55,1:32.27,5,10.63,1:32.45,1,10.26,1:31.94,4,10.05,1:32.30
3,9.88,1:42.10,4,9.91,1:42.18,5,9.90,1:42.36,2,9.88,1:41.82,1,9.41,1:41.71
4,9.41,1:51.52,3,8.99,1:51.18,5,9.52,1:51.89,2,9.24,1:51.06,1,9.18,1:50.90
5,15.58,2:07.11,3,9.60,2:00.78,4,9.04,2:00.93,2,9.51,2:00.58,1,9.53,2:00.43
5,18.60,2:25.71,3,9.35,2:10.13,4,9.85,2:10.78,2,9.45,2:10.04,1,9.40,2:09.83
5,13.75,2:39.47,3,9.32,2:19.46,4,9.64,2:20.43,2,9.41,2:19.45,1,9.33,2:19.17
5,13.94,2:53.402,2,9.81,2:29.270,4,10.42,2:30.842,3,9.96,2:29.402,1,10.01,2:29.172
