Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Aida BELLA POSITION,Aida BELLA LAP TIME,Aida BELLA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,9.33,9.33,4,9.41,9.41,2,9.32,9.32,5,9.59,9.59,1,8.87,8.87,6,9.60,9.60
4,13.45,22.78,5,13.43,22.84,1,13.08,22.40,3,12.90,22.50,2,13.54,22.41,6,14.64,24.24
4,12.64,35.43,1,12.37,35.22,3,12.93,35.33,5,13.12,35.62,2,12.85,35.26,6,11.44,35.69
4,12.27,47.70,1,12.34,47.56,5,12.37,47.70,2,11.95,47.57,3,12.31,47.58,6,12.06,47.75
4,11.47,59.17,1,11.32,58.89,3,11.42,59.13,2,11.36,58.94,5,11.59,59.18,6,11.56,59.31
4,11.85,1:11.02,2,11.97,1:10.86,5,11.93,1:11.06,1,11.87,1:10.81,3,11.69,1:10.87,6,11.77,1:11.09
5,10.50,1:21.53,2,10.40,1:21.27,3,10.36,1:21.43,1,10.40,1:21.21,4,10.60,1:21.48,6,10.94,1:22.03
4,10.02,1:31.55,1,9.90,1:31.17,3,10.03,1:31.46,2,10.00,1:31.22,5,10.18,1:31.66,6,10.26,1:32.30
5,9.95,1:41.51,1,10.02,1:41.19,4,10.00,1:41.47,2,10.19,1:41.41,3,9.79,1:41.46,6,9.88,1:42.19
4,10.19,1:51.70,1,10.15,1:51.34,5,10.24,1:51.71,3,10.18,1:51.60,2,10.05,1:51.51,6,10.55,1:52.74
4,10.21,2:01.92,1,10.15,2:01.49,5,10.32,2:02.04,3,10.23,2:01.83,2,10.31,2:01.82,6,10.95,2:03.70
1,9.80,2:11.72,5,11.27,2:12.77,4,9.88,2:11.92,2,9.93,2:11.77,3,10.03,2:11.85,6,11.72,2:15.42
5,10.42,2:22.15,3,8.98,2:21.75,4,10.06,2:21.99,1,9.82,2:21.59,2,9.89,2:21.75,6,12.43,2:27.85
4,10.16,2:32.302,1,10.33,2:32.074,5,10.32,2:32.308,3,10.65,2:32.231,2,10.43,2:32.178,6,13.60,2:41.442
