RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,TOPOLSKA Gabriela POSITION,TOPOLSKA Gabriela LAP TIME,TOPOLSKA Gabriela ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,VELZEBOER Xandra POSITION,VELZEBOER Xandra LAP TIME,VELZEBOER Xandra ELAPSED TIME,BOTTER GOMEZ Nicole POSITION,BOTTER GOMEZ Nicole LAP TIME,BOTTER GOMEZ Nicole ELAPSED TIME,DUBROVA Uliana POSITION,DUBROVA Uliana LAP TIME,DUBROVA Uliana ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
1,10.31,10.31,4,10.78,,3,10.62,10.62,2,10.49,10.49,7,10.93,10.93,5,10.85,10.85,6,10.88,10.88
1,16.36,26.67,5,16.37,,3,16.30,26.92,2,16.34,26.83,7,16.49,27.42,6,16.44,27.29,4,16.11,26.99
1,14.60,41.27,5,14.80,,4,14.81,41.73,2,14.65,41.48,7,14.78,42.20,6,14.79,42.08,3,14.62,41.61
1,11.51,52.78,5,11.18,,4,11.38,53.11,2,11.44,52.92,7,11.22,53.42,6,11.19,53.27,3,11.40,53.01
2,10.47,1:03.25,1,10.07,,5,10.44,1:03.55,3,10.46,1:03.38,7,10.37,1:03.79,6,10.41,1:03.68,4,10.45,1:03.46
2,10.61,1:13.86,1,10.57,,5,10.57,1:14.12,3,10.56,1:13.94,6,10.44,1:14.23,7,10.66,1:14.34,4,10.56,1:14.02
1,11.02,1:24.88,1,11.11,,4,10.95,1:25.07,3,11.04,1:24.98,5,10.90,1:25.13,7,11.02,1:25.36,6,11.21,1:25.23
2,10.19,1:35.07,3,10.29,,6,10.43,1:35.50,1,10.06,1:35.04,4,10.15,1:35.28,7,10.31,1:35.67,5,10.17,1:35.40
2,9.75,1:44.82,3,9.77,,6,9.79,1:45.29,1,9.68,1:44.72,4,9.77,1:45.05,7,10.05,1:45.72,5,9.78,1:45.18
2,9.81,1:54.63,4,9.86,,6,9.80,1:55.09,1,9.79,1:54.51,3,9.69,1:54.74,7,10.29,1:56.01,5,9.79,1:54.97
2,9.78,2:04.41,7,26.05,,4,10.03,2:05.12,1,9.77,2:04.28,6,25.54,2:20.28,5,10.80,2:06.81,3,10.13,2:05.10
2,9.98,2:14.39,7,18.94,,3,10.12,2:15.24,1,10.01,2:14.29,6,17.33,2:37.61,5,11.27,2:18.08,4,11.08,2:16.18
2,10.31,2:24.70,7,15.65,,3,10.50,2:25.74,1,10.32,2:24.61,6,13.88,2:51.49,5,11.52,2:29.60,4,11.78,2:27.96
2,10.57,2:35.27,7,13.42,,3,10.83,2:36.570,1,10.57,2:35.18,6,13.69,3:05.182,5,11.77,2:41.378,4,12.34,2:40.305
