PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
6,10.63,10.63,4,10.24,10.24,2,9.76,9.76,3,10.07,10.07,1,9.61,9.61,5,10.42,10.42
6,12.80,23.43,4,12.91,23.15,1,12.89,22.65,3,12.96,23.03,2,13.24,22.85,5,12.85,23.27
6,12.26,35.69,4,12.30,35.45,1,12.44,35.09,3,12.33,35.36,2,12.39,35.24,5,12.29,35.56
6,12.00,47.69,4,12.01,47.46,1,11.94,47.03,3,11.98,47.34,2,11.94,47.18,5,12.00,47.56
6,11.21,58.90,4,11.16,58.62,1,11.27,58.30,3,11.18,58.52,2,11.24,58.42,5,11.18,58.74
6,10.87,1:09.77,4,10.83,1:09.45,1,10.96,1:09.26,2,10.77,1:09.29,3,11.01,1:09.43,5,10.87,1:09.61
6,10.20,1:19.97,3,10.12,1:19.57,2,10.24,1:19.50,1,10.13,1:19.42,5,10.36,1:19.79,4,10.06,1:19.67
6,10.42,1:30.39,3,10.38,1:29.95,1,10.18,1:29.68,2,10.43,1:29.85,5,10.39,1:30.18,4,10.38,1:30.05
6,9.96,1:40.35,3,10.06,1:40.01,1,10.17,1:39.85,2,10.10,1:39.95,5,10.04,1:40.22,4,10.08,1:40.13
6,9.94,1:50.29,3,9.86,1:49.87,1,9.86,1:49.71,2,9.78,1:49.73,5,9.90,1:50.12,4,9.83,1:49.96
5,9.54,1:59.83,2,9.49,1:59.36,4,10.06,1:59.77,1,9.61,1:59.34,6,9.74,1:59.86,3,9.49,1:59.45
1,8.83,2:08.66,4,9.71,2:09.07,5,9.95,2:09.72,2,9.54,2:08.88,6,9.97,2:09.83,3,9.56,2:09.01
1,9.12,2:17.78,4,9.24,2:18.31,5,10.09,2:19.81,2,9.24,2:18.12,6,10.04,2:19.87,3,9.28,2:18.29
1,9.56,2:27.334,3,9.43,2:27.734,6,10.54,2:30.341,2,9.48,2:27.591,5,10.35,2:30.218,4,9.73,2:28.012
