Kim BOUTIN POSITION,Kim BOUTIN LAP TIME,Kim BOUTIN ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Ayame MIZUNO POSITION,Ayame MIZUNO LAP TIME,Ayame MIZUNO ELAPSED TIME,Anita NAGAY POSITION,Anita NAGAY LAP TIME,Anita NAGAY ELAPSED TIME,LI Hongshuang POSITION,LI Hongshuang LAP TIME,LI Hongshuang ELAPSED TIME,NOH Do Hee POSITION,NOH Do Hee LAP TIME,NOH Do Hee ELAPSED TIME
1,8.97,8.97,3,9.27,9.27,4,9.43,9.43,2,9.10,9.10,5,9.77,9.77,6,9.90,9.90
1,12.79,21.76,3,12.79,22.06,4,12.73,22.16,2,12.81,21.91,6,12.60,22.37,5,12.41,22.31
2,11.38,33.14,4,11.26,33.32,5,11.33,33.49,3,11.37,33.28,6,11.35,33.72,1,10.72,33.03
1,10.71,43.85,4,10.82,44.14,5,10.76,44.25,3,10.76,44.04,6,10.71,44.43,2,10.84,43.87
1,10.74,54.59,4,10.85,54.99,6,10.83,55.08,3,10.83,54.87,5,10.59,55.02,2,10.88,54.75
1,10.05,1:04.64,5,10.19,1:05.18,6,10.24,1:05.32,4,10.23,1:05.10,2,9.70,1:04.72,3,10.03,1:04.78
1,10.02,1:14.66,4,9.84,1:15.02,6,9.93,1:15.25,5,10.07,1:15.17,3,10.22,1:14.94,2,10.05,1:14.83
1,10.51,1:25.17,4,10.62,1:25.64,6,10.59,1:25.84,5,10.57,1:25.74,3,10.59,1:25.53,2,10.56,1:25.39
2,10.64,1:35.81,3,10.30,1:35.94,6,10.58,1:36.42,5,10.57,1:36.31,4,10.64,1:36.17,1,10.36,1:35.75
2,10.50,1:46.31,4,10.50,1:46.44,6,10.54,1:46.96,5,10.62,1:46.93,3,10.25,1:46.42,1,10.45,1:46.20
1,10.24,1:56.55,4,10.67,1:57.11,5,10.31,1:57.27,6,10.95,1:57.88,3,10.59,1:57.01,2,10.70,1:56.90
1,9.78,2:06.33,4,9.92,2:07.03,5,10.13,2:07.40,6,11.87,2:09.75,3,10.01,2:07.02,2,10.00,2:06.90
1,9.86,2:16.19,3,9.98,2:17.01,5,10.42,2:17.82,6,13.40,2:23.15,4,10.17,2:17.19,2,10.06,2:16.96
1,10.27,2:26.452,6,31.54,2:48.548,4,11.12,2:28.933,5,14.29,2:37.436,3,10.60,2:27.782,2,10.43,2:27.390
