LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
3,7.01,7.01,1,6.79,6.79,2,6.86,6.86,4,7.02,7.02
4,9.04,16.05,2,9.02,15.81,1,8.85,15.71,3,8.95,15.97
3,8.42,24.47,2,8.58,24.39,1,8.58,24.29,4,8.69,24.66
2,8.61,33.08,3,8.87,33.26,1,8.59,32.88,4,8.60,33.26
0,,PEN,3,8.94,42.200,1,8.76,41.635,2,8.80,42.060
