Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,OM Chol POSITION,OM Chol LAP TIME,OM Chol ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
4,7.57,7.57,3,7.29,7.29,1,6.95,6.95,2,7.17,7.17
4,9.34,16.91,3,9.40,16.69,2,9.27,16.22,1,9.02,16.19
4,8.96,25.87,3,9.09,25.78,2,8.99,25.21,1,8.79,24.98
4,9.31,35.18,3,9.29,35.07,2,8.99,34.20,1,8.94,33.92
3,9.61,44.787,4,9.79,44.859,2,9.07,43.264,1,9.11,43.026
