VARGA Regina Eszter POSITION,VARGA Regina Eszter LAP TIME,VARGA Regina Eszter ELAPSED TIME,FAJKUSOVA Marketa POSITION,FAJKUSOVA Marketa LAP TIME,FAJKUSOVA Marketa ELAPSED TIME,FILIPOVA Lucia POSITION,FILIPOVA Lucia LAP TIME,FILIPOVA Lucia ELAPSED TIME,LI Xuan POSITION,LI Xuan LAP TIME,LI Xuan ELAPSED TIME
2,7.77,7.77,4,7.94,7.94,1,7.62,7.62,3,7.87,7.87
2,9.67,17.44,4,9.88,17.82,1,9.71,17.33,3,9.70,17.57
2,9.22,26.66,4,9.46,27.28,1,9.21,26.54,3,9.16,26.73
3,9.27,35.93,4,9.63,36.91,1,9.28,35.82,2,9.13,35.86
3,9.50,45.43,4,9.86,46.77,2,9.48,45.30,1,9.22,45.08
