Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME
2,12.52,12.52,4,12.81,,3,12.62,12.62,5,12.93,12.93,1,12.50,12.50
2,9.20,21.72,4,9.09,,3,9.15,21.77,5,9.08,22.01,1,9.14,21.64
3,9.03,30.75,4,8.95,,1,8.77,30.54,5,8.95,30.96,2,9.10,30.74
2,9.03,39.78,3,9.05,,1,9.14,39.68,4,9.02,39.98,5,9.30,40.04
2,9.22,49.00,3,9.20,,1,9.23,48.91,4,9.22,49.20,5,9.27,49.31
1,9.03,58.03,3,9.09,,2,9.20,58.11,4,9.10,58.30,5,9.18,58.49
1,9.05,1:07.08,4,9.35,,5,9.52,1:07.63,2,9.04,1:07.34,3,8.96,1:07.45
1,9.13,1:16.21,4,9.45,,5,9.54,1:17.17,2,9.03,1:16.37,3,9.14,1:16.59
1,9.23,1:25.44,4,9.46,,5,9.70,1:26.87,2,9.16,1:25.53,3,9.15,1:25.74
