van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
2,10.59,10.59,3,10.72,10.72,4,10.83,10.83,5,10.96,10.96,6,11.12,11.12,1,10.51,10.51
2,15.13,25.72,3,15.16,25.88,4,15.20,26.03,5,15.34,26.30,6,15.36,26.48,1,15.08,25.59
2,14.27,39.99,3,14.25,40.13,4,14.28,40.31,5,14.29,40.59,6,14.23,40.71,1,14.29,39.88
2,13.47,53.46,3,13.46,53.59,4,13.41,53.72,5,13.42,54.01,6,13.42,54.13,1,13.52,53.40
3,12.37,1:05.83,4,12.34,1:05.93,1,11.91,1:05.63,5,12.22,1:06.23,6,12.23,1:06.36,2,12.34,1:05.74
2,11.11,1:16.94,4,11.28,1:17.21,1,11.28,1:16.91,5,11.21,1:17.44,6,11.23,1:17.59,3,11.27,1:17.01
1,10.43,1:27.37,4,10.38,1:27.59,3,10.67,1:27.58,5,10.42,1:27.86,6,10.39,1:27.98,2,10.46,1:27.47
1,10.75,1:38.12,4,10.83,1:38.42,3,10.74,1:38.32,5,10.69,1:38.55,6,10.70,1:38.68,2,10.70,1:38.17
2,10.75,1:48.87,3,10.47,1:48.89,4,10.78,1:49.10,5,10.70,1:49.25,6,10.68,1:49.36,1,10.69,1:48.86
3,10.19,1:59.06,1,10.09,1:58.98,4,10.16,1:59.26,5,10.14,1:59.39,6,10.16,1:59.52,2,10.15,1:59.01
3,9.92,2:08.98,1,9.70,2:08.68,5,9.81,2:09.07,4,9.66,2:09.05,6,9.68,2:09.20,2,9.85,2:08.86
5,9.71,2:18.69,2,9.83,2:18.51,6,9.77,2:18.84,1,9.10,2:18.15,4,9.40,2:18.60,3,9.69,2:18.55
4,10.01,2:28.70,3,9.88,2:28.39,5,9.92,2:28.76,1,9.42,2:27.57,2,9.21,2:27.81,6,10.39,2:28.94
4,10.12,2:38.815,3,10.09,2:38.477,0,,PEN,1,9.70,2:37.267,2,9.71,2:37.513,5,10.55,2:39.481
