Augusto DUZIONI POSITION,Augusto DUZIONI LAP TIME,Augusto DUZIONI ELAPSED TIME,EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,Bojan BAKA POSITION,Bojan BAKA LAP TIME,Bojan BAKA ELAPSED TIME,Kaloyan ANGELOV POSITION,Kaloyan ANGELOV LAP TIME,Kaloyan ANGELOV ELAPSED TIME
1,7.10,7.10,2,7.42,7.42,4,8.21,8.21,3,8.17,8.17
1,9.22,16.32,2,9.10,16.52,4,21.46,29.67,3,10.03,18.20
2,9.03,25.35,1,8.81,25.33,4,13.55,43.22,3,9.78,27.98
2,9.37,34.72,1,9.11,34.44,4,10.99,54.21,3,9.91,37.89
2,9.52,44.24,1,9.50,43.94,4,12.23,1:06.44,3,19.20,57.09
