Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME
1,14.33,14.33,2,14.43,14.43,3,14.53,14.53,4,14.65,14.65
2,11.56,25.89,4,11.78,26.21,3,11.45,25.98,1,11.19,25.84
4,10.88,36.77,1,10.11,36.32,2,10.47,36.45,3,10.81,36.65
4,9.67,46.44,1,9.78,46.10,2,9.78,46.23,3,9.60,46.25
3,9.56,56.00,1,9.23,55.33,2,9.19,55.42,4,17.75,1:04.00
3,9.28,1:05.28,1,9.20,1:04.53,2,9.21,1:04.63,4,12.50,1:16.50
3,8.95,1:14.23,1,9.38,1:13.91,2,9.33,1:13.96,4,10.36,1:26.86
3,9.12,1:23.35,1,9.18,1:23.09,2,9.22,1:23.18,4,10.57,1:37.43
2,9.29,1:32.634,1,9.18,1:32.269,0,,PEN,3,11.65,1:49.074
