Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
1,14.91,14.91,3,15.01,15.01,2,14.92,14.92
2,11.16,26.07,3,11.21,26.22,1,11.04,25.96
2,10.76,36.83,3,10.73,36.95,1,10.76,36.72
2,10.46,47.29,3,10.55,47.50,1,10.43,47.15
2,9.84,57.13,3,9.71,57.21,1,9.89,57.04
1,9.37,1:06.50,3,9.55,1:06.76,2,9.47,1:06.51
1,9.10,1:15.60,3,9.46,1:16.22,2,9.27,1:15.78
1,9.26,1:24.86,3,9.72,1:25.94,2,9.26,1:25.04
1,9.54,1:34.395,3,10.20,1:36.135,2,9.69,1:34.721
