DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Kirill SHASHIN POSITION,Kirill SHASHIN LAP TIME,Kirill SHASHIN ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
4,9.46,9.46,2,9.22,9.22,5,9.60,9.60,3,9.32,9.32,1,9.21,9.21
5,12.99,22.45,2,12.98,22.20,4,12.83,22.43,3,13.00,22.32,1,12.91,22.12
4,12.60,35.05,1,12.46,34.66,5,12.77,35.20,3,12.57,34.89,2,12.63,34.75
2,11.54,46.59,1,11.76,46.42,5,11.65,46.85,3,11.72,46.61,4,11.97,46.72
2,10.99,57.58,1,11.08,57.50,5,11.03,57.88,3,11.06,57.67,4,11.01,57.73
2,10.37,1:07.95,1,10.31,1:07.81,5,10.41,1:08.29,3,10.39,1:08.06,4,10.44,1:08.17
3,10.12,1:18.07,1,10.17,1:17.98,4,9.92,1:18.21,2,9.95,1:18.01,5,10.05,1:18.22
3,9.67,1:27.74,2,9.67,1:27.65,4,9.61,1:27.82,1,9.53,1:27.54,5,9.69,1:27.91
3,9.71,1:37.45,1,9.52,1:37.17,4,9.77,1:37.59,2,9.79,1:37.33,5,9.76,1:37.67
3,9.49,1:46.94,1,9.54,1:46.71,4,9.46,1:47.05,2,9.52,1:46.85,5,9.49,1:47.16
3,9.15,1:56.09,2,9.20,1:55.91,4,9.21,1:56.26,1,8.96,1:55.81,5,9.24,1:56.40
3,9.05,2:05.14,2,8.83,2:04.74,4,8.94,2:05.20,1,8.84,2:04.65,5,8.92,2:05.32
4,9.07,2:14.21,2,8.72,2:13.46,3,8.75,2:13.95,1,8.78,2:13.43,5,9.01,2:14.33
4,9.30,2:23.508,2,8.99,2:22.443,3,9.08,2:23.024,1,8.83,2:22.252,5,9.35,2:23.678
