PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME
2,12.44,12.44,3,12.55,12.55,4,12.64,12.64,1,12.35,
1,9.07,21.51,3,9.21,21.76,4,9.28,21.92,2,9.27,
1,9.31,30.82,3,9.24,31.00,4,9.22,31.14,2,9.22,
3,9.39,40.21,1,8.98,39.98,4,9.17,40.31,2,9.25,
3,8.98,49.19,2,9.02,49.00,4,9.05,49.36,1,8.90,
3,9.08,58.27,2,9.15,58.15,4,9.02,58.38,1,9.05,
3,8.99,1:07.26,1,8.81,1:06.96,4,9.00,1:07.38,2,9.00,
3,8.92,1:16.18,1,8.97,1:15.93,4,9.13,1:16.51,2,9.01,
3,9.23,1:25.41,1,9.20,1:25.13,4,9.34,1:25.85,2,9.20,
