NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
4,13.03,13.03,2,12.70,12.70,1,12.51,12.51,3,12.82,12.82
4,9.01,22.04,2,9.15,21.85,1,9.24,21.75,3,9.10,21.92
4,9.26,31.30,1,9.18,31.03,2,9.30,31.05,3,9.24,31.16
3,9.18,40.48,1,9.16,40.19,4,9.44,40.49,2,9.11,40.27
3,9.19,49.67,1,9.28,49.47,4,9.33,49.82,2,9.28,49.55
3,9.29,58.96,1,9.32,58.79,4,9.41,59.23,2,9.27,58.82
2,9.21,1:08.17,3,9.50,1:08.29,4,9.80,1:09.03,1,9.18,1:08.00
2,9.27,1:17.44,3,9.39,1:17.68,4,10.25,1:19.28,1,9.32,1:17.32
2,9.44,1:26.878,3,9.68,1:27.352,4,10.60,1:29.879,1,9.41,1:26.728
