Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,12.54,12.54,2,12.63,12.63,4,12.81,12.81,3,12.75,12.75
1,9.84,22.38,2,9.81,22.44,4,9.88,22.69,3,9.77,22.52
1,9.74,32.12,3,9.79,32.23,4,9.73,32.42,2,9.68,32.20
1,9.59,41.71,4,9.64,41.87,3,9.43,41.85,2,9.58,41.78
1,9.50,51.21,4,9.83,51.70,3,9.62,51.47,2,9.52,51.30
1,9.35,1:00.56,4,9.21,1:00.91,3,9.34,1:00.81,2,9.39,1:00.69
2,9.35,1:09.91,4,9.16,1:10.07,3,9.11,1:09.92,1,8.99,1:09.68
3,9.40,1:19.31,4,9.29,1:19.36,2,8.95,1:18.87,1,8.94,1:18.62
3,9.40,1:28.702,4,9.71,1:29.067,2,9.20,1:28.061,1,9.18,1:27.799
