Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Anke HARTMANN POSITION,Anke HARTMANN LAP TIME,Anke HARTMANN ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
4,7.75,7.75,2,7.36,7.36,1,7.35,7.35,3,7.47,7.47
4,9.85,17.60,2,9.98,17.35,3,10.15,17.51,1,9.76,17.23
3,9.28,26.89,2,9.52,26.88,4,9.49,27.01,1,9.58,26.81
2,13.10,39.99,3,19.71,46.59,4,24.55,51.56,1,9.82,36.64
2,6.79,46.772,3,12.49,59.077,4,13.62,1:05.173,1,10.04,46.675
