Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,12.68,12.68,2,12.76,12.76,4,12.88,12.88,3,12.83,12.83
2,9.78,22.46,1,9.62,22.38,4,9.81,22.69,3,9.74,22.57
1,9.46,31.92,2,9.61,31.99,4,9.52,32.21,3,9.51,32.08
1,9.53,41.45,2,9.55,41.54,4,9.52,41.73,3,9.55,41.63
1,9.46,50.91,2,9.46,51.00,4,9.43,51.16,3,9.48,51.11
1,9.27,1:00.18,2,9.27,1:00.27,4,9.34,1:00.50,3,9.27,1:00.38
1,9.33,1:09.51,2,9.32,1:09.59,4,9.28,1:09.78,3,9.29,1:09.67
1,9.24,1:18.75,2,9.27,1:18.86,4,9.28,1:19.06,3,9.28,1:18.95
1,9.41,1:28.158,3,9.64,1:28.498,2,9.22,1:28.272,0,,DNF
