ZHANG Weizhi POSITION,ZHANG Weizhi LAP TIME,ZHANG Weizhi ELAPSED TIME,LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
3,12.51,12.51,2,12.37,12.37,5,12.90,12.90,1,12.28,12.28,4,12.77,12.77
3,9.46,21.97,2,9.47,21.84,5,9.23,22.13,1,9.44,21.72,4,9.28,22.05
3,9.46,31.43,2,9.48,31.32,4,9.39,31.52,1,9.47,31.19,5,9.49,31.54
4,9.48,40.91,1,9.29,40.61,3,9.20,40.72,1,9.42,40.61,5,9.49,41.03
4,9.12,50.03,1,9.06,49.67,3,9.12,49.84,2,9.15,49.76,5,9.08,50.11
4,9.12,59.15,1,9.18,58.85,3,9.17,59.01,2,9.15,58.91,5,9.23,59.34
4,9.10,1:08.25,1,8.98,1:07.83,3,9.10,1:08.11,2,9.11,1:08.02,5,8.95,1:08.29
4,9.15,1:17.40,1,9.08,1:16.91,3,9.15,1:17.26,2,9.16,1:17.18,5,9.35,1:17.64
4,9.33,1:26.73,1,9.22,1:26.13,3,9.29,1:26.55,2,9.20,1:26.38,5,10.53,1:28.17
