Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,Tina GRASSOW POSITION,Tina GRASSOW LAP TIME,Tina GRASSOW ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME
2,9.70,9.70,3,9.71,9.71,4,9.87,9.87,5,10.02,10.02,1,9.68,9.68,6,10.21,10.21
1,13.35,23.05,3,13.59,23.30,5,13.58,23.45,6,13.55,23.57,2,13.51,23.19,4,13.13,23.34
2,11.28,34.33,5,11.21,34.51,4,11.03,34.48,6,11.12,34.69,3,11.24,34.43,1,10.92,34.26
2,11.37,45.70,4,11.33,45.84,5,11.44,45.92,6,11.34,46.03,3,11.37,45.80,1,11.31,45.57
3,10.77,56.47,1,10.31,56.15,5,10.76,56.68,4,10.64,56.67,6,11.03,56.83,2,10.76,56.33
3,10.59,1:07.06,1,10.67,1:06.82,5,10.55,1:07.23,4,10.44,1:07.11,6,10.52,1:07.35,2,10.61,1:06.94
3,10.57,1:17.63,1,10.59,1:17.41,5,10.62,1:17.85,4,10.62,1:17.73,6,10.62,1:17.97,2,10.60,1:17.54
3,10.24,1:27.87,1,10.23,1:27.64,6,16.01,1:33.86,4,10.24,1:27.97,5,10.24,1:28.21,2,10.23,1:27.77
3,10.07,1:37.94,1,10.01,1:37.65,6,22.30,1:56.16,4,10.06,1:38.03,5,9.91,1:38.12,2,10.07,1:37.84
2,9.76,1:47.70,1,9.97,1:47.62,6,12.05,2:08.21,4,9.88,1:47.91,5,11.99,1:50.11,3,9.99,1:47.83
2,10.00,1:57.70,1,9.96,1:57.58,6,10.64,2:18.85,4,9.99,1:57.90,5,20.87,2:10.98,3,9.94,1:57.77
1,9.76,2:07.46,2,10.01,2:07.59,6,11.08,2:29.93,4,9.88,2:07.78,5,12.70,2:23.68,3,9.84,2:07.61
1,10.06,2:17.52,3,10.13,2:17.72,6,12.04,2:41.97,4,10.06,2:17.84,5,12.54,2:36.22,2,9.92,2:17.53
2,10.09,2:27.606,3,10.11,2:27.821,0,,PEN,4,10.18,2:28.017,5,13.38,2:49.591,1,9.89,2:27.420
