Kinga KOVACS POSITION,Kinga KOVACS LAP TIME,Kinga KOVACS ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Lia STEPANOVA POSITION,Lia STEPANOVA LAP TIME,Lia STEPANOVA ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Vera KATSOV POSITION,Vera KATSOV LAP TIME,Vera KATSOV ELAPSED TIME
1,9.88,9.88,4,10.19,10.19,5,10.48,10.48,3,10.12,10.12,2,10.05,10.05,6,10.65,10.65
1,13.60,23.48,3,13.55,23.75,6,13.46,23.94,5,13.72,23.84,2,13.64,23.70,4,13.13,23.79
1,12.71,36.20,4,12.79,36.54,5,12.68,36.62,3,12.65,36.49,2,12.69,36.39,6,12.97,36.76
1,12.57,48.77,4,12.46,49.01,5,12.52,49.15,3,12.50,48.99,2,12.37,48.77,6,12.42,49.19
1,12.27,1:01.04,3,12.26,1:01.28,6,12.43,1:01.59,4,12.35,1:01.34,2,12.39,1:01.16,5,12.37,1:01.56
1,10.47,1:11.52,2,10.41,1:11.69,5,10.30,1:11.89,4,10.43,1:11.78,3,10.56,1:11.73,6,10.63,1:12.19
1,10.24,1:21.76,3,10.26,1:21.95,5,10.20,1:22.09,4,10.29,1:22.08,2,10.17,1:21.91,6,10.23,1:22.42
1,10.43,1:32.20,4,10.46,1:32.42,5,10.42,1:32.51,2,10.20,1:32.29,3,10.48,1:32.39,6,10.37,1:32.80
1,10.57,1:42.78,3,10.52,1:42.94,5,10.53,1:43.04,2,10.65,1:42.94,4,10.57,1:42.97,6,10.62,1:43.43
2,10.29,1:53.07,3,10.20,1:53.14,1,9.75,1:52.80,4,10.22,1:53.17,5,10.26,1:53.23,6,10.35,1:53.78
3,10.00,2:03.07,1,9.79,2:02.94,2,10.19,2:02.99,4,10.03,2:03.20,5,10.07,2:03.31,6,11.02,2:04.80
4,10.27,2:13.35,1,9.93,2:12.88,2,10.05,2:13.05,3,9.86,2:13.06,5,10.41,2:13.72,6,10.90,2:15.71
4,10.79,2:24.15,1,10.21,2:23.09,2,10.18,2:23.23,3,10.25,2:23.32,5,10.51,2:24.23,6,11.38,2:27.09
4,11.02,2:35.166,1,10.50,2:33.590,2,10.45,2:33.675,3,10.56,2:33.874,5,10.99,2:35.212,6,12.29,2:39.371
