Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,LEE So Youn POSITION,LEE So Youn LAP TIME,LEE So Youn ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME
3,15.50,15.50,2,15.42,15.42,4,15.63,15.63,1,15.40,15.40
3,10.70,26.20,1,10.54,25.96,4,10.77,26.40,2,10.70,26.10
3,10.39,36.59,1,10.43,36.39,4,10.28,36.68,2,10.41,36.51
2,10.31,46.90,1,10.40,46.79,4,10.45,47.13,3,10.51,47.02
2,10.49,57.39,1,10.49,57.28,4,10.48,57.61,3,10.51,57.53
1,10.08,1:07.47,4,10.52,1:07.80,3,10.15,1:07.76,2,10.05,1:07.58
1,9.73,1:17.20,4,10.53,1:18.33,3,9.54,1:17.30,2,9.70,1:17.28
2,9.80,1:27.00,4,10.78,1:29.11,1,9.50,1:26.80,3,9.91,1:27.19
2,9.94,1:36.936,4,11.18,1:40.288,1,9.71,1:36.501,3,10.54,1:37.726
