Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Jonas KAUFMANN-LUDWIG POSITION,Jonas KAUFMANN-LUDWIG LAP TIME,Jonas KAUFMANN-LUDWIG ELAPSED TIME
1,6.91,6.91,3,7.34,7.34,2,7.18,7.18,4,7.42,7.42,5,7.50,7.50
1,9.24,16.15,3,9.06,16.40,2,9.02,16.20,4,9.22,16.64,5,9.32,16.82
2,8.81,24.96,1,8.48,24.88,3,8.88,25.08,4,8.76,25.40,5,9.10,25.92
2,9.00,33.96,1,8.91,33.79,3,9.00,34.08,4,9.02,34.42,5,9.52,35.44
2,9.02,42.971,1,9.05,42.834,3,8.94,43.012,4,9.52,43.936,5,10.17,45.603
