Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Alexander FATHOULLIN POSITION,Alexander FATHOULLIN LAP TIME,Alexander FATHOULLIN ELAPSED TIME,Jens ALMEY POSITION,Jens ALMEY LAP TIME,Jens ALMEY ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Michal KLOSINSKI POSITION,Michal KLOSINSKI LAP TIME,Michal KLOSINSKI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME
1,9.37,9.37,2,9.52,9.52,6,9.85,9.85,3,9.68,9.68,5,9.81,9.81,4,9.75,9.75,8,10.00,10.00,6,9.85,
2,12.71,22.08,3,12.66,22.18,7,12.84,22.69,6,12.88,22.56,5,12.62,22.43,1,12.21,21.96,8,12.81,22.81,4,12.46,
2,12.04,34.12,3,12.09,34.27,7,12.07,34.76,6,12.06,34.62,5,12.08,34.51,1,12.05,34.01,8,12.11,34.92,4,12.08,
2,11.76,45.88,3,11.77,46.04,7,11.76,46.52,6,11.78,46.40,5,11.76,46.27,1,11.74,45.75,8,11.74,46.66,4,11.77,
3,11.34,57.22,1,10.95,56.99,7,11.02,57.54,5,10.98,57.38,6,11.16,57.43,2,11.35,57.10,8,11.01,57.67,4,11.17,
1,9.91,1:07.13,4,10.41,1:07.40,2,9.61,1:07.15,7,10.21,1:07.59,8,10.28,1:07.71,3,10.19,1:07.29,5,9.83,1:07.50,5,10.17,
2,10.09,1:17.22,4,9.93,1:17.33,1,9.99,1:17.14,7,10.00,1:17.59,6,9.77,1:17.48,5,10.08,1:17.37,3,9.79,1:17.29,8,10.19,
2,9.71,1:26.93,1,9.48,1:26.81,3,9.88,1:27.02,7,9.86,1:27.45,6,9.84,1:27.32,5,9.83,1:27.20,4,9.80,1:27.09,8,9.88,
2,9.58,1:36.51,1,9.61,1:36.42,3,9.57,1:36.59,7,9.60,1:37.05,6,9.63,1:36.95,4,9.52,1:36.72,5,9.76,1:36.85,8,9.53,
2,9.57,1:46.08,1,9.59,1:46.01,3,9.58,1:46.17,6,9.61,1:46.66,8,9.89,1:46.84,4,9.56,1:46.28,5,9.58,1:46.43,7,9.57,
2,9.35,1:55.43,1,9.31,1:55.32,3,9.39,1:55.56,6,9.41,1:56.07,8,9.78,1:56.62,3,9.28,1:55.56,5,9.41,1:55.84,7,9.59,
2,9.19,2:04.62,1,9.22,2:04.54,4,9.29,2:04.85,6,9.36,2:05.43,8,10.10,2:06.72,3,9.17,2:04.73,5,9.46,2:05.30,7,9.69,
2,9.14,2:13.76,1,9.14,2:13.68,4,9.22,2:14.07,6,9.51,2:14.94,8,10.63,2:17.35,3,9.17,2:13.90,5,9.48,2:14.78,7,9.99,
2,9.16,2:22.92,1,9.19,2:22.87,4,9.07,2:23.14,6,9.75,2:24.69,8,11.00,2:28.35,3,9.10,2:23.00,5,9.72,2:24.50,7,10.45,
