TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,MILOVANOV Sergei POSITION,MILOVANOV Sergei LAP TIME,MILOVANOV Sergei ELAPSED TIME,JUNG Hok Young POSITION,JUNG Hok Young LAP TIME,JUNG Hok Young ELAPSED TIME
5,7.36,7.36,1,7.07,7.07,2,7.18,7.18,3,7.27,7.27,4,7.33,
4,9.32,16.68,1,9.03,16.10,2,9.11,16.29,4,9.41,16.68,3,9.15,
4,8.60,25.28,1,8.58,24.68,2,8.49,24.78,5,8.86,25.54,3,8.31,
3,8.53,33.81,1,8.74,33.42,5,10.01,34.79,4,8.75,34.29,2,8.82,
3,8.94,42.75,1,8.78,42.20,5,9.93,44.72,3,8.97,43.263,2,9.05,
