Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME
1,8.99,8.99,4,9.54,9.54,5,9.84,9.84,3,9.27,9.27,2,9.19,9.19
2,13.31,22.30,4,13.07,22.61,5,12.89,22.73,3,13.06,22.33,1,13.02,22.21
3,12.24,34.54,5,12.38,34.99,1,11.48,34.21,4,12.29,34.62,2,12.18,34.39
1,11.58,46.12,5,11.59,46.58,3,11.98,46.19,4,11.70,46.32,2,11.78,46.17
1,11.17,57.29,5,11.39,57.97,3,11.46,57.65,4,11.45,57.77,2,11.46,57.63
1,11.90,1:09.19,5,11.92,1:09.89,2,11.77,1:09.42,4,12.01,1:09.78,3,12.01,1:09.64
1,12.02,1:21.21,5,12.21,1:22.10,2,12.09,1:21.51,4,12.06,1:21.84,3,12.10,1:21.74
1,11.00,1:32.21,5,10.69,1:32.79,2,11.01,1:32.52,4,10.91,1:32.75,3,10.97,1:32.71
1,10.43,1:42.64,5,10.46,1:43.25,2,10.50,1:43.02,4,10.45,1:43.20,3,10.34,1:43.05
1,10.34,1:52.98,5,10.30,1:53.55,2,10.30,1:53.32,4,10.30,1:53.50,3,10.39,1:53.44
1,9.89,2:02.87,5,10.26,2:03.81,2,9.98,2:03.30,4,9.98,2:03.48,3,10.03,2:03.47
1,9.96,2:12.83,5,10.40,2:14.21,3,9.87,2:13.17,2,9.66,2:13.14,4,9.72,2:13.19
2,9.92,2:22.75,5,11.13,2:25.34,3,9.80,2:22.97,1,9.46,2:22.60,4,9.84,2:23.03
2,9.91,2:32.658,5,11.45,2:36.785,3,9.80,2:32.771,1,9.96,2:32.555,4,9.82,2:32.846
