Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Ikue TESHIGAWARA POSITION,Ikue TESHIGAWARA LAP TIME,Ikue TESHIGAWARA ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME
1,16.215,16.215,3,16.556,16.556,2,16.416,16.416,4,16.731,16.731
2,12.859,29.073,1,12.500,29.055,3,12.717,29.132,4,12.703,29.433
4,10.459,39.531,3,10.469,39.524,1,10.317,39.449,2,10.061,39.493
3,9.944,49.474,4,9.981,49.505,2,9.992,49.440,1,9.858,49.351
2,9.685,59.159,3,9.699,59.203,1,9.685,59.125,4,9.900,59.250
3,9.689,1:08.848,2,9.616,1:08.819,1,9.661,1:08.785,4,9.696,1:08.946
2,9.619,1:18.467,4,9.750,1:18.568,3,9.760,1:18.545,1,9.515,1:18.461
3,9.992,1:28.458,4,9.982,1:28.550,1,9.755,1:28.300,2,9.847,1:28.307
3,9.81,1:38.264,4,9.80,1:38.350,2,9.91,1:38.206,1,9.89,1:38.195
