Salvijus RAMANAUSKAS POSITION,Salvijus RAMANAUSKAS LAP TIME,Salvijus RAMANAUSKAS ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,HANDEI Oleh POSITION,HANDEI Oleh LAP TIME,HANDEI Oleh ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME
2,15.90,15.90,1,15.80,15.80,3,16.05,16.05,4,16.18,16.18
2,11.61,27.51,1,11.59,27.39,3,11.58,27.63,4,11.62,27.80
2,10.65,38.16,1,10.68,38.07,3,10.63,38.26,4,10.58,38.38
2,10.19,48.35,1,10.18,48.25,3,10.16,48.42,4,10.22,48.60
3,9.83,58.18,1,9.73,57.98,2,9.68,58.10,4,9.67,58.27
4,9.33,1:07.51,1,9.09,1:07.07,3,9.17,1:07.27,2,8.99,1:07.26
4,9.44,1:16.95,1,8.95,1:16.02,3,9.10,1:16.37,2,8.92,1:16.18
4,9.75,1:26.70,1,8.84,1:24.86,3,9.13,1:25.50,2,8.83,1:25.01
4,10.30,1:37.00,1,9.07,1:33.93,3,9.50,1:35.00,2,8.96,1:33.97
