PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,KIM Dong Wook POSITION,KIM Dong Wook LAP TIME,KIM Dong Wook ELAPSED TIME
1,12.82,12.82,4,12.99,12.99,2,12.95,12.95,5,13.23,13.23,3,12.96,12.96
1,9.69,22.51,2,9.59,22.58,3,9.68,22.63,5,9.62,22.85,4,9.75,22.71
3,9.56,32.07,1,9.29,31.87,2,9.32,31.95,5,9.43,32.28,4,9.48,32.19
1,9.03,41.10,2,9.33,41.20,3,9.36,41.31,5,9.26,41.54,4,9.25,41.44
1,9.19,50.29,2,9.21,50.41,3,9.21,50.52,5,9.23,50.77,4,9.21,50.65
1,9.19,59.48,2,9.22,59.63,3,9.20,59.72,5,9.19,59.96,4,9.21,59.86
1,9.08,1:08.56,2,9.07,1:08.70,3,9.06,1:08.78,5,9.05,1:09.01,4,8.95,1:08.81
1,8.85,1:17.41,2,8.85,1:17.55,3,8.88,1:17.66,4,8.76,1:17.77,4,8.96,1:17.77
1,8.83,1:26.242,2,8.74,1:26.296,4,8.90,1:26.561,5,8.98,1:26.753,3,8.78,1:26.552
