Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
2,13.24,13.24,1,13.17,13.17,4,13.51,13.51,3,13.32,13.32
1,10.10,23.34,2,10.20,23.37,4,10.08,23.59,3,10.15,23.47
2,10.10,33.44,1,10.03,33.40,4,10.13,33.72,3,10.10,33.57
2,9.79,43.23,1,9.74,43.14,4,9.71,43.43,3,9.76,43.33
1,9.55,52.78,3,9.74,52.88,4,9.58,53.01,2,9.52,52.85
1,9.90,1:02.68,4,10.33,1:03.21,3,9.88,1:02.89,2,9.95,1:02.80
2,9.70,1:12.38,4,9.70,1:12.91,1,9.45,1:12.34,3,9.66,1:12.46
2,9.71,1:22.09,4,9.70,1:22.61,1,9.35,1:21.69,3,9.81,1:22.27
2,10.14,1:32.223,3,10.44,1:33.046,1,10.16,1:31.843,0,,DQ
