Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,HAN Yueshuang POSITION,HAN Yueshuang LAP TIME,HAN Yueshuang ELAPSED TIME
2,7.216,7.216,1,6.976,6.976,3,7.494,7.494,4,7.622,7.622
3,9.556,16.771,2,9.718,16.693,1,9.087,16.580,4,9.565,17.186
3,9.479,26.250,1,9.241,25.934,2,9.420,26.000,4,9.666,26.852
3,9.477,35.726,1,9.313,35.247,2,9.268,35.267,4,8.983,35.834
3,9.86,45.584,1,9.98,45.222,2,10.04,45.304,4,10.66,46.494
