CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,13.01,13.01,2,13.05,13.05,3,13.21,13.21,4,13.45,13.45
1,10.12,23.13,2,10.09,23.14,3,10.14,23.35,4,10.03,23.48
2,9.75,32.88,1,9.74,32.88,3,9.72,33.07,4,9.80,33.28
2,9.75,42.63,1,9.67,42.55,3,9.74,42.81,4,9.64,42.92
2,9.50,52.13,1,9.55,52.10,3,9.58,52.39,4,9.56,52.48
1,9.37,1:01.50,2,9.44,1:01.54,3,9.28,1:01.67,4,9.37,1:01.85
2,9.40,1:10.90,1,9.29,1:10.83,3,9.45,1:11.12,4,9.33,1:11.18
1,9.18,1:20.08,2,9.29,1:20.12,3,9.29,1:20.41,4,9.25,1:20.43
1,9.50,1:29.572,2,9.61,1:29.728,0,,DQ,3,9.36,1:29.788
