Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
2,15.41,15.41,1,15.24,15.24,3,15.53,15.53
3,12.42,27.84,1,12.36,27.60,2,12.24,27.78
2,11.88,39.72,1,11.93,39.53,3,12.00,39.79
1,10.58,50.31,2,10.78,50.31,3,10.71,50.50
3,10.09,1:00.40,1,9.76,1:00.07,2,9.89,1:00.39
2,9.41,1:09.81,1,9.50,1:09.58,3,9.64,1:10.03
2,9.79,1:19.61,1,9.81,1:19.39,3,9.72,1:19.76
2,9.72,1:29.34,1,9.79,1:29.19,3,10.15,1:29.91
2,10.45,1:39.787,1,10.19,1:39.376,3,10.71,1:40.618
