Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,Teerasak BOONPOK POSITION,Teerasak BOONPOK LAP TIME,Teerasak BOONPOK ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME
2,12.85,12.85,1,12.78,12.78,5,13.14,13.14,6,13.32,13.32,3,12.97,12.97,4,13.11,13.11
3,10.17,23.02,2,10.10,22.88,6,10.52,23.66,5,10.27,23.59,4,10.22,23.19,1,9.66,22.77
2,9.67,32.69,3,9.82,32.70,6,10.30,33.96,5,9.64,33.23,4,9.68,32.87,1,9.85,32.62
1,9.24,41.93,3,9.49,42.19,6,10.75,44.71,5,9.48,42.71,4,9.43,42.30,2,9.49,42.11
1,9.54,51.47,2,9.36,51.55,6,11.54,56.25,5,9.76,52.47,4,9.49,51.79,3,9.56,51.67
1,9.53,1:01.00,2,9.57,1:01.12,6,12.72,1:08.97,5,10.14,1:02.61,4,9.47,1:01.26,3,9.50,1:01.17
1,9.36,1:10.36,3,9.41,1:10.53,6,15.83,1:24.80,5,10.47,1:13.08,2,9.18,1:10.44,4,9.39,1:10.56
3,9.55,1:19.91,2,9.36,1:19.89,6,14.04,1:38.84,5,10.93,1:24.01,1,9.34,1:19.78,4,9.43,1:19.99
4,10.32,1:30.23,2,9.20,1:29.09,6,13.78,1:52.62,5,11.36,1:35.37,1,9.12,1:28.90,3,9.35,1:29.34
