Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
2,6.96,6.96,1,6.80,6.80,3,7.07,7.07,4,7.20,7.20
2,8.81,15.77,1,8.84,15.64,3,8.79,15.86,4,8.75,15.95
1,8.12,23.89,2,8.28,23.92,3,8.18,24.04,4,8.20,24.15
1,8.42,32.31,2,8.49,32.41,2,8.37,32.41,4,8.38,32.53
1,8.60,40.897,3,8.59,40.985,2,8.54,40.954,4,8.57,41.085
