Mikhail RAJINE POSITION,Mikhail RAJINE LAP TIME,Mikhail RAJINE ELAPSED TIME,Mark McNEE POSITION,Mark McNEE LAP TIME,Mark McNEE ELAPSED TIME,Robbert-Kees BOER POSITION,Robbert-Kees BOER LAP TIME,Robbert-Kees BOER ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME
1,11.793,11.793,4,12.159,12.159,2,11.948,11.948,3,12.130,12.130,5,12.456,12.456
2,9.440,21.232,1,9.072,21.231,4,9.452,21.399,3,9.265,21.395,5,9.283,21.739
1,9.312,30.544,3,9.466,30.696,2,9.259,30.658,4,9.474,30.868,5,9.344,31.082
1,9.431,39.974,3,9.374,40.070,2,9.413,40.070,4,9.398,40.266,5,9.269,40.351
3,9.762,49.736,1,9.553,49.623,4,9.771,49.841,2,9.439,49.704,5,9.585,49.936
3,9.810,59.545,1,9.441,59.063,2,9.647,59.487,4,9.895,59.599,5,9.904,59.839
4,9.980,1:09.524,1,9.710,1:08.772,3,9.957,1:09.444,2,9.261,1:08.860,5,9.803,1:09.642
5,10.392,1:19.916,2,9.981,1:18.753,3,9.637,1:19.080,1,9.536,1:18.396,4,9.900,1:19.541
4,10.64,1:30.548,2,9.59,1:28.343,0,,DQ,1,9.74,1:28.132,3,10.34,1:29.877
