NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
2,9.91,9.91,1,9.79,9.79,4,10.27,10.27,3,10.09,10.09,5,10.42,10.42
2,14.61,24.52,1,14.59,24.38,3,14.34,24.61,4,14.60,24.69,5,14.41,24.83
3,13.60,38.12,1,13.56,37.94,2,13.45,38.06,4,13.58,38.27,5,13.62,38.45
4,12.10,50.22,2,12.15,50.09,1,11.96,50.02,5,12.03,50.30,3,11.73,50.18
3,11.83,1:02.05,1,11.70,1:01.79,2,11.97,1:01.99,5,11.90,1:02.20,4,11.90,1:02.08
2,10.41,1:12.46,1,10.58,1:12.37,3,10.60,1:12.59,4,10.40,1:12.60,5,10.60,1:12.68
3,10.00,1:22.46,1,9.97,1:22.34,4,10.01,1:22.60,2,9.82,1:22.42,5,10.05,1:22.73
2,9.61,1:32.07,1,9.63,1:31.97,3,9.58,1:32.18,5,9.87,1:32.29,4,9.54,1:32.27
2,9.62,1:41.69,1,9.60,1:41.57,3,9.66,1:41.84,5,9.81,1:42.10,4,9.65,1:41.92
2,9.46,1:51.15,1,9.45,1:51.02,3,9.43,1:51.27,5,9.56,1:51.66,4,9.46,1:51.38
2,9.45,2:00.60,1,9.46,2:00.48,3,9.44,2:00.71,5,9.93,2:01.59,4,9.44,2:00.82
2,9.53,2:10.13,1,9.51,2:09.99,3,9.51,2:10.22,5,10.51,2:12.10,4,9.59,2:10.41
3,9.70,2:19.83,1,9.55,2:19.54,2,9.33,2:19.55,5,10.87,2:22.97,4,9.68,2:20.09
3,9.99,2:29.814,2,9.84,2:29.374,1,9.19,2:28.734,5,11.78,2:34.749,4,10.32,2:30.409
