Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
4,15.020,15.020,2,14.710,14.710,3,14.820,14.820,1,14.670,14.670
4,11.050,26.070,2,11.110,25.820,3,11.110,25.930,1,11.110,25.780
4,11.780,37.850,2,11.790,37.610,3,11.830,37.770,1,11.800,37.590
1,10.940,48.800,3,11.540,49.160,4,11.450,49.230,2,11.470,49.070
1,10.190,59.000,4,10.030,59.190,2,9.940,59.180,3,10.110,59.180
1,10.070,1:09.070,3,10.020,1:09.210,4,10.040,1:09.220,2,9.890,1:09.080
1,9.670,1:18.740,3,9.950,1:19.170,2,9.810,1:19.040,4,10.100,1:19.180
2,9.890,1:28.640,3,9.790,1:28.960,1,9.350,1:28.390,4,10.120,1:29.300
2,10.140,1:38.780,3,9.980,1:38.950,1,9.580,1:37.980,4,10.580,1:39.890
