Alexandre ST JEAN POSITION,Alexandre ST JEAN LAP TIME,Alexandre ST JEAN ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,James RODOWSKY POSITION,James RODOWSKY LAP TIME,James RODOWSKY ELAPSED TIME
3,10.71,10.71,1,10.54,10.54,5,10.83,10.83,4,10.77,10.77,2,10.63,10.63
1,15.22,25.93,2,15.52,26.06,3,15.33,26.16,5,15.60,26.37,4,15.70,26.33
2,12.57,38.50,3,12.55,38.61,5,12.68,38.84,4,12.35,38.72,1,11.99,38.32
3,11.05,49.55,1,10.62,49.23,5,10.93,49.77,4,10.94,49.66,2,11.07,49.39
3,11.11,1:00.66,1,11.23,1:00.46,5,11.06,1:00.83,4,11.09,1:00.75,2,11.19,1:00.58
3,11.31,1:11.97,1,11.36,1:11.82,4,11.25,1:12.08,5,11.43,1:12.18,2,11.37,1:11.95
3,10.62,1:22.59,2,10.69,1:22.51,4,10.78,1:22.86,5,10.71,1:22.89,1,10.53,1:22.48
2,9.81,1:32.40,3,9.96,1:32.47,4,9.91,1:32.77,5,9.95,1:32.84,1,9.88,1:32.36
2,9.57,1:41.97,3,9.61,1:42.08,4,9.64,1:42.41,5,9.57,1:42.41,1,9.51,1:41.87
2,9.61,1:51.58,3,9.55,1:51.63,5,9.81,1:52.22,4,9.64,1:52.05,1,9.62,1:51.49
2,9.86,2:01.44,3,9.93,2:01.56,5,9.73,2:01.95,4,9.80,2:01.85,1,9.90,2:01.39
2,9.30,2:10.74,1,9.16,2:10.72,5,9.98,2:11.93,4,9.92,2:11.77,3,9.61,2:11.00
2,9.22,2:19.96,1,9.02,2:19.74,5,10.03,2:21.96,4,10.18,2:21.95,3,9.62,2:20.62
2,9.67,2:29.630,1,9.39,2:29.130,5,26.76,2:48.716,4,10.77,2:32.718,3,9.90,2:30.519
