Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME
1,6.68,6.68,3,6.97,6.97,2,6.80,6.80,4,7.04,7.04,5,7.19,7.19
1,8.78,15.46,3,8.73,15.70,2,8.77,15.57,4,8.74,15.78,5,8.73,15.92
2,8.49,23.95,1,8.09,23.79,5,16.29,31.86,3,8.32,24.10,3,8.18,24.10
3,9.05,33.00,1,8.49,32.28,5,19.83,51.69,2,8.68,32.78,4,9.03,33.13
3,8.73,41.73,1,8.87,41.15,5,11.66,1:03.324,2,8.62,41.40,4,8.83,41.943
