Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME
5,13.81,13.81,2,13.39,13.39,1,13.27,13.27,3,13.54,13.54,4,13.66,13.66
5,9.70,23.51,2,9.85,23.24,1,9.82,23.09,3,9.79,23.33,4,9.76,23.42
5,9.49,33.00,2,9.45,32.69,1,9.49,32.58,4,9.57,32.90,3,9.38,32.80
3,9.09,42.09,1,9.23,41.92,2,9.50,42.08,4,9.27,42.17,5,9.43,42.23
2,9.28,51.37,1,9.32,51.24,5,9.82,51.90,3,9.22,51.39,4,9.33,51.56
2,9.35,1:00.72,1,9.40,1:00.64,5,9.79,1:01.69,3,9.41,1:00.80,4,9.35,1:00.91
2,9.38,1:10.10,1,9.41,1:10.05,5,9.79,1:11.48,3,9.40,1:10.20,4,9.34,1:10.25
1,9.09,1:19.19,2,9.26,1:19.31,5,10.15,1:21.63,3,9.19,1:19.39,4,9.69,1:19.94
1,9.23,1:28.42,2,9.20,1:28.51,5,10.52,1:32.133,3,9.27,1:28.66,4,10.05,1:29.954
