SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
5,16.05,16.05,2,15.87,15.87,1,15.76,15.76,4,16.00,16.00,3,15.97,
2,10.94,26.99,3,11.18,27.05,1,11.14,26.90,4,11.09,27.09,5,11.25,
3,10.66,37.65,4,10.78,37.83,1,10.63,37.53,2,10.52,37.61,5,10.64,
2,9.86,47.51,4,9.91,47.74,1,9.88,47.41,3,9.99,47.60,5,9.99,
2,9.83,57.34,4,9.77,57.51,1,9.82,57.23,3,9.82,57.42,5,9.78,
2,9.66,1:07.00,4,9.78,1:07.29,1,9.66,1:06.89,3,9.84,1:07.26,5,9.83,
2,9.42,1:16.42,3,9.36,1:16.65,1,9.43,1:16.32,4,10.14,1:17.40,5,10.09,
2,9.55,1:25.97,3,9.43,1:26.08,1,9.55,1:25.87,4,10.46,1:27.86,5,10.42,
2,9.67,1:35.64,3,9.71,1:35.79,1,9.72,1:35.59,4,10.60,1:38.467,5,10.62,
