Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
1,6.93,6.93,2,7.08,7.08,4,7.62,7.62,3,7.43,7.43
1,9.37,16.30,2,9.23,16.31,4,10.03,17.65,3,9.06,16.49
3,9.20,25.50,1,8.72,25.03,4,9.49,27.14,2,8.67,25.16
3,9.33,34.83,1,8.72,33.75,4,9.82,36.96,2,8.67,33.83
3,9.61,44.432,1,8.84,42.583,4,10.31,47.262,2,8.91,42.731
