RYAN Ava POSITION,RYAN Ava LAP TIME,RYAN Ava ELAPSED TIME,POK Jing Ying Alyssa POSITION,POK Jing Ying Alyssa LAP TIME,POK Jing Ying Alyssa ELAPSED TIME
1,8.00,8.00,2,8.11,8.11
2,10.44,18.44,1,10.21,18.32
2,9.89,28.33,1,9.88,28.20
2,9.93,38.26,1,9.92,38.12
2,10.12,48.387,1,10.22,48.344
