Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,13.75,13.75,3,13.94,13.94,2,13.92,13.92,4,14.09,14.09
1,10.95,24.70,3,11.04,24.98,2,10.91,24.83,4,10.97,25.06
1,11.10,35.80,3,11.12,36.10,2,11.11,35.94,4,11.11,36.17
1,10.60,46.40,2,10.41,46.51,3,10.75,46.69,4,10.62,46.79
1,10.15,56.55,2,10.19,56.70,4,10.13,56.82,3,10.02,56.81
1,10.13,1:06.68,2,10.07,1:06.77,4,10.15,1:06.97,3,10.02,1:06.83
1,9.92,1:16.60,2,9.93,1:16.70,4,9.95,1:16.92,3,9.97,1:16.80
1,9.71,1:26.31,2,9.70,1:26.40,4,9.69,1:26.61,3,9.68,1:26.48
1,9.73,1:36.032,2,9.67,1:36.068,4,9.64,1:36.244,3,9.74,1:36.212
