CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,XIAO Han POSITION,XIAO Han LAP TIME,XIAO Han ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
2,10.54,10.54,5,10.84,10.84,3,10.59,10.59,4,10.70,10.70,1,10.22,10.22
3,12.68,23.22,5,12.62,23.46,2,12.51,23.10,4,12.64,23.34,1,12.72,22.94
3,11.64,34.86,5,11.60,35.06,2,11.66,34.76,4,11.62,34.96,1,11.71,34.65
3,11.82,46.68,5,11.86,46.92,2,11.82,46.58,4,11.83,46.79,1,11.81,46.46
2,11.73,58.41,5,11.73,58.65,3,11.85,58.43,4,11.72,58.51,1,11.81,58.27
1,10.26,1:08.67,5,10.35,1:09.00,3,10.45,1:08.88,4,10.42,1:08.93,2,10.51,1:08.78
1,10.67,1:19.34,3,10.59,1:19.59,2,10.59,1:19.47,4,10.88,1:19.81,5,24.71,1:33.49
1,10.87,1:30.21,3,10.81,1:30.40,4,11.33,1:30.80,2,10.48,1:30.29,5,11.44,1:44.93
1,11.19,1:41.40,3,11.29,1:41.69,4,11.10,1:41.90,2,11.24,1:41.53,5,10.79,1:55.72
1,10.91,1:52.31,3,10.89,1:52.58,4,10.86,1:52.76,2,10.80,1:52.33,5,10.71,2:06.43
1,10.03,2:02.34,3,10.37,2:02.95,4,10.33,2:03.09,2,10.11,2:02.44,5,10.90,2:17.33
1,9.91,2:12.25,4,10.44,2:13.39,3,10.27,2:13.36,2,9.92,2:12.36,5,11.24,2:28.57
1,9.94,2:22.19,4,10.84,2:24.23,3,10.23,2:23.59,2,9.92,2:22.28,5,11.88,2:40.45
1,10.12,2:32.308,3,11.10,2:35.323,2,10.36,2:33.950,0,,PEN,4,12.02,2:52.466
