Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME
3,9.360,9.360,2,9.290,9.290,1,9.190,9.190,5,9.640,9.640,6,9.720,9.720,4,9.370,9.370
3,14.640,24.010,1,14.540,23.830,2,14.670,23.860,4,14.410,24.050,6,14.680,24.400,5,14.790,24.160
5,14.400,38.420,3,14.280,38.110,2,14.090,37.960,1,13.730,37.790,6,14.210,38.620,4,14.130,38.300
5,13.070,51.490,4,13.200,51.320,1,13.070,51.040,2,13.250,51.040,6,13.070,51.700,3,12.750,51.060
5,12.090,1:03.590,4,12.190,1:03.510,3,12.270,1:03.310,2,12.260,1:03.300,6,12.030,1:03.730,1,12.100,1:03.160
4,12.730,1:16.320,1,12.630,1:16.150,2,12.840,1:16.150,3,12.990,1:16.300,6,12.760,1:16.500,5,13.230,1:16.400
1,11.350,1:27.670,3,11.610,1:27.770,2,11.540,1:27.700,5,11.660,1:27.970,4,11.420,1:27.930,6,11.660,1:28.060
2,10.340,1:38.010,4,10.500,1:38.270,1,9.880,1:37.580,3,10.140,1:38.110,5,10.560,1:38.490,6,10.530,1:38.590
2,9.450,1:47.470,4,9.600,1:47.880,1,9.630,1:47.210,3,9.610,1:47.730,5,9.680,1:48.180,6,9.700,1:48.300
2,9.570,1:57.040,4,9.510,1:57.390,1,9.680,1:56.900,3,9.530,1:57.270,5,9.470,1:57.650,6,9.700,1:58.000
3,9.910,2:06.960,4,9.800,2:07.190,1,9.920,2:06.820,2,9.680,2:06.950,5,9.720,2:07.380,6,9.870,2:07.880
1,9.790,2:16.750,4,10.080,2:17.270,3,10.430,2:17.260,2,9.960,2:16.910,5,9.960,2:17.340,6,10.160,2:18.050
1,9.800,2:26.550,4,10.160,2:27.430,5,10.490,2:27.750,2,10.240,2:27.160,3,10.060,2:27.400,6,10.690,2:28.740
1,10.390,2:36.950,4,11.190,2:38.620,5,10.910,2:38.670,2,10.590,2:37.750,3,11.000,2:38.400,6,11.160,2:39.900
