KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,JAPAN POSITION,JAPAN LAP TIME,JAPAN ELAPSED TIME
1,12.58,12.58,3,12.90,12.90,2,12.70,12.70
1,9.60,22.18,3,9.49,22.39,2,9.59,22.29
1,9.52,31.70,3,9.49,31.88,2,9.53,31.82
1,9.57,41.27,3,9.60,41.48,2,9.54,41.36
1,9.41,50.68,3,9.49,50.97,2,9.43,50.79
1,9.39,1:00.07,3,9.47,1:00.44,2,9.41,1:00.20
1,9.38,1:09.45,3,9.25,1:09.69,2,9.36,1:09.56
1,9.31,1:18.76,3,9.25,1:18.94,2,9.28,1:18.84
1,9.42,1:28.18,3,9.43,1:28.37,2,9.45,1:28.29
1,9.50,1:37.68,3,9.57,1:37.94,2,9.52,1:37.81
1,9.43,1:47.11,3,9.53,1:47.47,2,9.44,1:47.25
1,9.38,1:56.49,3,9.38,1:56.85,2,9.33,1:56.58
1,9.55,2:06.04,3,9.43,2:06.28,2,9.59,2:06.17
1,9.29,2:15.33,3,9.30,2:15.58,2,9.23,2:15.40
1,9.24,2:24.57,3,9.20,2:24.78,2,9.25,2:24.65
1,9.42,2:33.99,3,9.38,2:34.16,2,9.42,2:34.07
1,9.27,2:43.26,3,9.46,2:43.62,2,9.38,2:43.45
1,9.06,2:52.32,3,9.25,2:52.87,2,9.13,2:52.58
1,8.84,3:01.16,3,9.43,3:02.30,2,9.19,3:01.77
1,8.98,3:10.14,3,9.05,3:11.35,2,9.26,3:11.03
1,9.17,3:19.31,3,9.08,3:20.43,2,9.28,3:20.31
1,9.35,3:28.66,3,9.32,3:29.75,2,9.35,3:29.66
1,9.44,3:38.10,3,9.53,3:39.28,2,9.32,3:38.98
1,9.50,3:47.60,3,9.54,3:48.82,2,9.37,3:48.35
1,9.10,3:56.70,3,9.33,3:58.15,2,9.45,3:57.80
1,9.21,4:05.91,3,9.11,4:07.26,2,9.41,4:07.21
1,9.24,4:15.15,2,9.17,4:16.43,3,9.68,4:15.15
