SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME
5,8.70,8.70,3,8.55,8.55,1,8.41,8.41,6,8.82,8.82,2,8.52,8.52,4,8.65,8.65
6,12.33,21.03,4,12.16,20.71,2,12.09,20.50,3,11.72,20.54,1,11.96,20.48,5,12.21,20.86
6,10.42,31.45,1,10.29,31.00,5,10.82,31.32,2,10.52,31.06,3,10.72,31.20,4,10.41,31.27
5,10.18,41.63,2,10.37,41.37,6,10.32,41.64,3,10.39,41.45,4,10.34,41.54,1,9.97,41.24
1,9.50,51.13,2,9.79,51.16,6,9.98,51.62,4,9.89,51.34,5,9.97,51.51,3,10.01,51.25
1,10.11,1:01.24,2,10.17,1:01.33,6,10.14,1:01.76,5,10.25,1:01.59,4,9.99,1:01.50,3,10.17,1:01.42
1,10.49,1:11.73,2,10.53,1:11.86,3,10.11,1:11.87,6,10.57,1:12.16,5,10.55,1:12.05,4,10.53,1:11.95
2,9.85,1:21.58,3,9.86,1:21.72,1,9.47,1:21.34,6,9.90,1:22.06,5,9.92,1:21.97,4,9.89,1:21.84
2,9.57,1:31.15,3,9.57,1:31.29,1,9.73,1:31.07,6,9.58,1:31.64,5,9.57,1:31.54,4,9.57,1:31.41
1,9.39,1:40.54,2,9.39,1:40.68,3,9.61,1:40.68,6,9.58,1:41.22,5,9.46,1:41.00,4,9.46,1:40.87
1,9.40,1:49.94,2,9.51,1:50.19,5,9.86,1:50.54,6,9.87,1:51.09,4,9.37,1:50.37,3,9.42,1:50.29
1,9.48,1:59.42,2,9.37,1:59.56,5,9.88,2:00.42,6,10.34,2:01.43,4,9.46,1:59.83,3,9.40,1:59.69
1,9.51,2:08.93,2,9.52,2:09.08,5,10.08,2:10.50,6,11.06,2:12.49,4,9.34,2:09.17,3,9.47,2:09.16
1,9.65,2:18.576,2,9.62,2:18.696,5,10.40,2:20.898,6,11.75,2:24.234,3,9.62,2:18.789,4,9.77,2:18.927
