Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
2,14.54,14.54,4,14.76,14.76,1,14.52,14.52,3,14.75,14.75
3,11.49,26.03,1,10.68,25.45,2,11.33,25.85,4,11.54,26.30
3,10.54,36.57,1,10.87,36.33,2,10.50,36.35,4,10.46,36.76
1,9.90,46.48,3,10.27,46.60,2,10.21,46.57,4,10.01,46.77
1,10.00,56.48,2,9.96,56.57,3,10.01,56.59,4,10.02,56.79
1,10.12,1:06.61,3,10.13,1:06.70,2,10.04,1:06.63,4,10.12,1:06.92
1,10.08,1:16.69,3,10.11,1:16.81,2,10.14,1:16.78,4,10.10,1:17.02
2,10.15,1:26.85,3,10.06,1:26.88,1,10.04,1:26.82,4,10.07,1:27.10
2,10.12,1:36.962,4,10.95,1:37.826,1,10.07,1:36.889,3,10.40,1:37.495
